IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.110.71.68,443,443,true,AMS,Europe,Amsterdam,190,8.42
185.229.225.229,443,443,true,AMS,Europe,Amsterdam,292,7.54
146.70.175.103,443,443,true,AMS,Europe,Amsterdam,181,7.51
146.70.175.190,443,443,true,AMS,Europe,Amsterdam,174,7.29
146.70.175.113,443,443,true,AMS,Europe,Amsterdam,185,7.02
146.70.175.114,443,443,true,AMS,Europe,Amsterdam,176,6.49
146.70.169.116,443,443,true,AMS,Europe,Amsterdam,179,6.10
95.140.158.140,443,443,true,AMS,Europe,Amsterdam,220,5.85
146.70.175.116,443,443,true,AMS,Europe,Amsterdam,185,5.47
146.70.175.163,443,443,true,AMS,Europe,Amsterdam,193,5.44
146.70.175.98,443,443,true,AMS,Europe,Amsterdam,182,5.22
146.70.175.174,443,443,true,AMS,Europe,Amsterdam,187,5.20
146.70.175.162,443,443,true,AMS,Europe,Amsterdam,179,5.16
146.70.175.182,443,443,true,AMS,Europe,Amsterdam,177,5.11
146.70.175.167,443,443,true,AMS,Europe,Amsterdam,174,5.08
146.70.175.124,443,443,true,AMS,Europe,Amsterdam,177,5.05
146.70.175.100,443,443,true,AMS,Europe,Amsterdam,175,4.53
109.71.246.196,443,443,true,AMS,Europe,Amsterdam,230,4.53
212.113.106.225,443,443,true,AMS,Europe,Amsterdam,280,4.11
109.71.240.27,443,443,true,AMS,Europe,Amsterdam,218,4.09
146.70.175.164,443,443,true,AMS,Europe,Amsterdam,180,3.96
193.142.59.192,443,443,true,AMS,Europe,Amsterdam,212,3.48
147.45.75.8,443,443,true,AMS,Europe,Amsterdam,313,3.38
77.238.237.179,443,443,true,AMS,Europe,Amsterdam,196,3.29
57.153.156.60,8443,443,true,AMS,Europe,Amsterdam,253,3.27
77.246.104.132,443,443,true,AMS,Europe,Amsterdam,188,3.00
94.103.95.115,443,443,true,AMS,Europe,Amsterdam,188,2.96
147.45.134.48,443,443,true,AMS,Europe,Amsterdam,222,2.94
192.236.249.106,443,443,true,AMS,Europe,Amsterdam,257,2.88
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,243,2.78
80.76.34.121,443,443,true,AMS,Europe,Amsterdam,311,2.69
77.105.140.141,443,443,true,AMS,Europe,Amsterdam,189,2.56
147.45.43.7,443,443,true,AMS,Europe,Amsterdam,289,2.51
109.71.246.74,443,443,true,AMS,Europe,Amsterdam,229,2.40
109.234.34.182,443,443,true,AMS,Europe,Amsterdam,191,2.27
81.19.137.167,443,443,true,AMS,Europe,Amsterdam,280,2.24
46.151.28.100,443,443,true,AMS,Europe,Amsterdam,190,2.15
192.236.249.107,443,443,true,AMS,Europe,Amsterdam,253,2.14
5.180.182.128,443,443,true,AMS,Europe,Amsterdam,281,2.14
23.94.101.139,2053,443,true,AMS,Europe,Amsterdam,284,2.09
195.58.50.126,443,443,true,AMS,Europe,Amsterdam,175,2.07
77.238.248.115,443,443,true,AMS,Europe,Amsterdam,197,2.03
178.208.79.111,443,443,true,AMS,Europe,Amsterdam,180,2.02
146.70.175.101,443,443,true,AMS,Europe,Amsterdam,178,1.94
192.236.249.96,443,443,true,AMS,Europe,Amsterdam,251,1.86
195.58.50.194,443,443,true,AMS,Europe,Amsterdam,172,1.77
89.110.64.179,443,443,true,AMS,Europe,Amsterdam,202,1.75
77.238.252.70,443,443,true,AMS,Europe,Amsterdam,201,1.73
146.70.169.115,443,443,true,AMS,Europe,Amsterdam,179,1.69
194.147.33.13,443,443,true,AMS,Europe,Amsterdam,183,1.67
192.236.249.99,443,443,true,AMS,Europe,Amsterdam,253,1.61
146.70.175.168,443,443,true,AMS,Europe,Amsterdam,184,1.60
195.58.50.250,443,443,true,AMS,Europe,Amsterdam,191,1.56
185.39.206.164,443,443,true,AMS,Europe,Amsterdam,173,1.39
192.236.249.105,443,443,true,AMS,Europe,Amsterdam,251,1.33
5.255.99.242,443,443,true,AMS,Europe,Amsterdam,292,1.32
185.94.165.200,443,443,true,AMS,Europe,Amsterdam,309,1.28
195.133.75.188,443,443,true,AMS,Europe,Amsterdam,183,1.27
77.238.237.40,443,443,true,AMS,Europe,Amsterdam,190,1.26
185.113.8.15,443,443,true,AMS,Europe,Amsterdam,185,1.25
146.70.175.180,443,443,true,AMS,Europe,Amsterdam,180,1.09
77.238.243.49,443,443,true,AMS,Europe,Amsterdam,201,1.08
185.92.221.70,443,443,true,AMS,Europe,Amsterdam,318,1.07
194.146.38.48,443,443,true,AMS,Europe,Amsterdam,274,1.05
77.238.254.235,443,443,true,AMS,Europe,Amsterdam,190,0.89
134.209.202.107,443,443,true,AMS,Europe,Amsterdam,307,0.88
92.118.169.17,443,443,true,AMS,Europe,Amsterdam,192,0.78
51.158.183.210,443,443,true,AMS,Europe,Amsterdam,304,0.69
94.142.137.72,443,443,true,AMS,Europe,Amsterdam,309,0.66
185.103.254.65,443,443,true,AMS,Europe,Amsterdam,308,0.66
192.236.249.110,443,443,true,AMS,Europe,Amsterdam,252,0.63
195.54.174.74,443,443,true,AMS,Europe,Amsterdam,357,0.63
185.125.200.250,443,443,true,AMS,Europe,Amsterdam,222,0.63
23.254.226.110,443,443,true,AMS,Europe,Amsterdam,250,0.62
31.172.74.223,443,443,true,AMS,Europe,Amsterdam,321,0.62
