IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.89.107.168,443,443,true,FRA,Europe,Frankfurt,179,9.74
195.201.94.112,443,443,true,FRA,Europe,Frankfurt,182,8.32
195.201.135.208,443,443,true,FRA,Europe,Frankfurt,182,7.60
128.140.71.62,443,443,true,FRA,Europe,Frankfurt,189,6.44
18.196.171.93,2053,443,true,FRA,Europe,Frankfurt,180,6.19
188.40.171.70,443,443,true,FRA,Europe,Frankfurt,189,6.05
193.123.34.230,443,443,true,FRA,Europe,Frankfurt,233,6.03
34.147.62.213,443,443,true,FRA,Europe,Frankfurt,190,5.66
34.154.70.101,443,443,true,FRA,Europe,Frankfurt,258,5.52
141.144.193.132,443,443,true,FRA,Europe,Frankfurt,224,5.37
185.172.131.49,443,443,true,FRA,Europe,Frankfurt,232,5.11
34.116.246.145,443,443,true,FRA,Europe,Frankfurt,255,5.07
34.65.128.143,443,443,true,FRA,Europe,Frankfurt,253,5.01
179.43.180.231,443,443,true,FRA,Europe,Frankfurt,262,5.01
34.91.101.211,443,443,true,FRA,Europe,Frankfurt,240,4.99
45.14.247.108,443,443,true,FRA,Europe,Frankfurt,169,4.93
193.123.33.164,443,443,true,FRA,Europe,Frankfurt,222,4.91
168.119.4.66,443,443,true,FRA,Europe,Frankfurt,178,4.83
37.1.193.165,443,443,true,FRA,Europe,Frankfurt,217,4.71
144.24.167.32,443,443,true,FRA,Europe,Frankfurt,260,4.68
132.226.215.119,443,443,true,FRA,Europe,Frankfurt,263,4.48
34.91.113.182,443,443,true,FRA,Europe,Frankfurt,269,4.39
130.61.204.37,443,443,true,FRA,Europe,Frankfurt,254,4.36
35.204.138.58,443,443,true,FRA,Europe,Frankfurt,285,4.35
179.43.140.35,443,443,true,FRA,Europe,Frankfurt,271,4.35
35.198.177.9,443,443,true,FRA,Europe,Frankfurt,271,4.34
35.246.191.78,443,443,true,FRA,Europe,Frankfurt,299,4.32
143.47.189.91,443,443,true,FRA,Europe,Frankfurt,253,4.31
37.1.194.7,443,443,true,FRA,Europe,Frankfurt,210,4.30
34.118.104.248,443,443,true,FRA,Europe,Frankfurt,299,4.28
34.91.177.245,443,443,true,FRA,Europe,Frankfurt,250,4.27
141.148.240.120,443,443,true,FRA,Europe,Frankfurt,260,4.25
34.154.148.247,443,443,true,FRA,Europe,Frankfurt,246,4.23
35.157.229.137,8443,443,true,FRA,Europe,Frankfurt,210,4.22
141.147.55.162,443,443,true,FRA,Europe,Frankfurt,260,4.21
141.144.193.95,443,443,true,FRA,Europe,Frankfurt,222,4.20
141.144.198.171,443,443,true,FRA,Europe,Frankfurt,214,4.07
38.180.48.228,443,443,true,FRA,Europe,Frankfurt,180,4.07
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,239,4.04
141.144.195.63,443,443,true,FRA,Europe,Frankfurt,215,4.03
130.61.83.37,443,443,true,FRA,Europe,Frankfurt,252,4.03
84.235.173.16,443,443,true,FRA,Europe,Frankfurt,270,4.01
130.162.180.232,443,443,true,FRA,Europe,Frankfurt,263,4.00
141.148.235.108,443,443,true,FRA,Europe,Frankfurt,253,3.99
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,288,3.97
141.144.193.81,443,443,true,FRA,Europe,Frankfurt,210,3.95
35.198.183.150,443,443,true,FRA,Europe,Frankfurt,276,3.87
34.107.35.81,443,443,true,FRA,Europe,Frankfurt,249,3.86
34.65.7.101,443,443,true,FRA,Europe,Frankfurt,256,3.86
34.116.134.235,443,443,true,FRA,Europe,Frankfurt,302,3.83
141.148.246.42,443,443,true,FRA,Europe,Frankfurt,243,3.79
18.185.105.235,2053,443,true,FRA,Europe,Frankfurt,224,3.79
35.198.177.73,443,443,true,FRA,Europe,Frankfurt,236,3.75
141.147.82.97,443,443,true,FRA,Europe,Frankfurt,261,3.75
141.147.100.139,443,443,true,FRA,Europe,Frankfurt,258,3.72
158.101.211.54,443,443,true,FRA,Europe,Frankfurt,247,3.72
34.154.121.129,443,443,true,FRA,Europe,Frankfurt,278,3.72
34.90.88.12,443,443,true,FRA,Europe,Frankfurt,280,3.71
193.123.62.123,443,443,true,FRA,Europe,Frankfurt,245,3.68
141.147.115.145,443,443,true,FRA,Europe,Frankfurt,255,3.66
91.239.148.10,443,443,true,FRA,Europe,Frankfurt,265,3.64
18.158.211.32,8443,443,true,FRA,Europe,Frankfurt,217,3.63
158.101.201.152,443,443,true,FRA,Europe,Frankfurt,261,3.60
34.32.211.101,443,443,true,FRA,Europe,Frankfurt,250,3.59
141.144.239.129,443,443,true,FRA,Europe,Frankfurt,240,3.57
141.147.81.154,443,443,true,FRA,Europe,Frankfurt,254,3.56
152.70.57.35,443,443,true,FRA,Europe,Frankfurt,259,3.53
35.204.115.8,443,443,true,FRA,Europe,Frankfurt,189,3.42
152.70.62.159,443,443,true,FRA,Europe,Frankfurt,250,3.37
143.47.184.101,443,443,true,FRA,Europe,Frankfurt,253,3.36
143.47.179.182,443,443,true,FRA,Europe,Frankfurt,249,3.34
34.159.238.40,443,443,true,FRA,Europe,Frankfurt,276,3.34
34.154.105.205,443,443,true,FRA,Europe,Frankfurt,246,3.31
143.47.191.68,443,443,true,FRA,Europe,Frankfurt,245,3.29
132.226.203.48,443,443,true,FRA,Europe,Frankfurt,242,3.28
34.154.112.131,443,443,true,FRA,Europe,Frankfurt,239,3.27
141.147.115.92,443,443,true,FRA,Europe,Frankfurt,254,3.27
34.118.111.88,443,443,true,FRA,Europe,Frankfurt,298,3.27
34.154.119.138,443,443,true,FRA,Europe,Frankfurt,244,3.25
34.154.135.153,443,443,true,FRA,Europe,Frankfurt,286,3.24
143.47.189.235,443,443,true,FRA,Europe,Frankfurt,250,3.23
130.162.163.171,443,443,true,FRA,Europe,Frankfurt,247,3.22
34.116.143.158,443,443,true,FRA,Europe,Frankfurt,295,3.20
141.147.94.193,443,443,true,FRA,Europe,Frankfurt,246,3.18
141.147.101.93,443,443,true,FRA,Europe,Frankfurt,260,3.18
176.57.221.68,443,443,true,FRA,Europe,Frankfurt,260,3.08
91.239.148.53,443,443,true,FRA,Europe,Frankfurt,231,3.08
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,252,3.07
34.159.86.161,443,443,true,FRA,Europe,Frankfurt,233,3.06
141.147.65.221,443,443,true,FRA,Europe,Frankfurt,258,3.06
45.95.172.110,443,443,true,FRA,Europe,Frankfurt,248,3.06
150.230.116.205,443,443,true,FRA,Europe,Frankfurt,259,3.01
8.211.41.24,443,443,true,FRA,Europe,Frankfurt,255,2.99
34.118.76.197,443,443,true,FRA,Europe,Frankfurt,290,2.99
34.154.41.67,443,443,true,FRA,Europe,Frankfurt,236,2.96
150.230.112.29,443,443,true,FRA,Europe,Frankfurt,264,2.95
34.89.156.87,443,443,true,FRA,Europe,Frankfurt,285,2.91
34.65.14.226,443,443,true,FRA,Europe,Frankfurt,243,2.90
34.147.66.152,443,443,true,FRA,Europe,Frankfurt,193,2.89
34.116.208.99,443,443,true,FRA,Europe,Frankfurt,292,2.88
34.116.189.98,443,443,true,FRA,Europe,Frankfurt,295,2.86
146.19.233.20,443,443,true,FRA,Europe,Frankfurt,171,2.83
34.65.246.204,443,443,true,FRA,Europe,Frankfurt,234,2.81
34.154.137.17,443,443,true,FRA,Europe,Frankfurt,232,2.81
34.32.190.213,443,443,true,FRA,Europe,Frankfurt,241,2.81
141.147.81.110,443,443,true,FRA,Europe,Frankfurt,262,2.80
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,242,2.79
144.21.41.65,443,443,true,FRA,Europe,Frankfurt,244,2.79
141.147.29.113,8443,443,true,FRA,Europe,Frankfurt,249,2.77
34.118.55.40,443,443,true,FRA,Europe,Frankfurt,297,2.77
34.154.77.20,443,443,true,FRA,Europe,Frankfurt,195,2.76
35.246.207.107,443,443,true,FRA,Europe,Frankfurt,256,2.76
3.127.200.253,443,443,true,FRA,Europe,Frankfurt,214,2.75
18.184.10.228,2053,443,true,FRA,Europe,Frankfurt,217,2.72
144.21.37.182,443,443,true,FRA,Europe,Frankfurt,249,2.66
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,248,2.61
130.61.114.171,443,443,true,FRA,Europe,Frankfurt,280,2.59
34.65.251.105,443,443,true,FRA,Europe,Frankfurt,277,2.56
18.156.30.219,443,443,true,FRA,Europe,Frankfurt,209,2.54
89.168.64.87,443,443,true,FRA,Europe,Frankfurt,252,2.53
4.184.197.18,2053,443,true,FRA,Europe,Frankfurt,242,2.52
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,244,2.45
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,261,2.40
150.230.121.245,443,443,true,FRA,Europe,Frankfurt,253,2.39
217.25.95.175,443,443,true,FRA,Europe,Frankfurt,254,2.38
35.246.239.244,443,443,true,FRA,Europe,Frankfurt,289,2.37
130.162.253.35,443,443,true,FRA,Europe,Frankfurt,250,2.36
18.184.55.249,443,443,true,FRA,Europe,Frankfurt,210,2.36
152.70.52.198,443,443,true,FRA,Europe,Frankfurt,244,2.33
138.2.182.180,443,443,true,FRA,Europe,Frankfurt,242,2.32
35.198.146.145,443,443,true,FRA,Europe,Frankfurt,284,2.29
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,201,2.26
34.154.211.168,443,443,true,FRA,Europe,Frankfurt,284,2.24
91.239.148.126,443,443,true,FRA,Europe,Frankfurt,230,2.23
91.192.102.55,443,443,true,FRA,Europe,Frankfurt,269,2.23
158.180.12.93,443,443,true,FRA,Europe,Frankfurt,258,2.21
4.185.140.174,8443,443,true,FRA,Europe,Frankfurt,236,2.19
3.68.124.231,443,443,true,FRA,Europe,Frankfurt,210,2.16
192.248.191.220,443,443,true,FRA,Europe,Frankfurt,336,2.16
34.154.115.235,443,443,true,FRA,Europe,Frankfurt,289,2.16
34.118.67.75,443,443,true,FRA,Europe,Frankfurt,287,2.15
34.118.7.233,443,443,true,FRA,Europe,Frankfurt,206,2.11
89.23.118.240,443,443,true,FRA,Europe,Frankfurt,267,2.08
