IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.107.109,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,27.59
8.218.8.142,2086,0,false,HKG,Asia Pacific,Hong Kong,40,26.90
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,26.62
47.243.206.150,8080,8080,false,HKG,Asia Pacific,Hong Kong,29,24.91
47.243.139.243,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,24.79
8.218.126.53,2082,0,false,HKG,Asia Pacific,Hong Kong,29,24.17
8.217.127.73,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,23.10
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,26,22.92
8.210.146.108,8880,0,false,HKG,Asia Pacific,Hong Kong,32,22.86
47.242.42.153,2053,0,true,HKG,Asia Pacific,Hong Kong,28,22.22
8.217.251.62,80,80,false,HKG,Asia Pacific,Hong Kong,34,21.52
8.218.243.95,2095,2095,false,HKG,Asia Pacific,Hong Kong,44,21.28
47.76.32.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,21.21
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,21.20
8.217.127.73,2096,0,true,HKG,Asia Pacific,Hong Kong,56,20.98
47.243.91.58,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,20.89
47.238.6.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,123,20.81
47.243.18.199,2087,2087,true,HKG,Asia Pacific,Hong Kong,30,20.72
8.210.156.6,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,20.61
8.218.142.253,8443,0,true,HKG,Asia Pacific,Hong Kong,32,20.52
47.242.42.153,2052,2052,false,HKG,Asia Pacific,Hong Kong,34,20.37
47.76.98.98,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,20.19
47.242.155.183,8443,8443,true,HKG,Asia Pacific,Hong Kong,35,19.94
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,19.80
47.242.17.250,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,19.76
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,31,19.72
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,19.69
8.217.149.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,27,19.66
47.242.54.157,80,80,false,HKG,Asia Pacific,Hong Kong,92,19.57
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,19.48
47.238.5.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,19.45
8.218.52.115,2082,0,false,HKG,Asia Pacific,Hong Kong,37,19.35
8.217.127.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,19.33
8.218.53.110,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,19.25
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,62,19.24
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,19.22
8.217.66.3,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,19.18
47.76.233.67,2053,2053,true,HKG,Asia Pacific,Hong Kong,29,19.15
8.210.3.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,19.09
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,35,19.05
47.243.243.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,18.93
47.242.176.237,80,80,false,HKG,Asia Pacific,Hong Kong,28,18.88
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,29,18.47
