IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.167.247.117,40151,443,true,LAX,North America,Los Angeles,174,11.19
23.165.40.119,443,443,true,LAX,North America,Los Angeles,166,9.69
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,215,9.30
154.12.39.241,13789,443,true,LAX,North America,Los Angeles,170,9.11
23.169.184.96,29148,443,true,LAX,North America,Los Angeles,169,8.40
38.47.115.152,34237,2096,true,LAX,North America,Los Angeles,175,7.83
154.29.146.16,10594,443,true,LAX,North America,Los Angeles,180,7.75
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,197,7.72
129.146.46.164,443,443,true,LAX,North America,Los Angeles,192,7.58
38.60.89.113,44844,443,true,LAX,North America,Los Angeles,172,7.03
207.60.50.14,8443,443,true,LAX,North America,Los Angeles,169,6.92
23.224.97.85,32554,443,true,LAX,North America,Los Angeles,182,6.89
154.23.244.23,59932,443,true,LAX,North America,Los Angeles,165,6.82
154.23.207.84,45498,443,true,LAX,North America,Los Angeles,181,6.75
23.165.40.192,24972,443,true,LAX,North America,Los Angeles,170,6.66
23.166.168.8,42126,443,true,LAX,North America,Los Angeles,167,6.43
207.60.50.167,46652,443,true,LAX,North America,Los Angeles,168,6.03
23.166.168.99,51056,443,true,LAX,North America,Los Angeles,169,5.89
156.251.189.154,8443,443,true,LAX,North America,Los Angeles,184,5.87
91.149.239.62,443,443,true,LAX,North America,Los Angeles,206,5.71
23.165.40.170,25482,443,true,LAX,North America,Los Angeles,170,5.70
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,199,5.69
23.165.40.176,57321,443,true,LAX,North America,Los Angeles,168,5.36
23.224.97.85,32137,443,true,LAX,North America,Los Angeles,171,5.27
38.55.61.76,30580,443,true,LAX,North America,Los Angeles,167,5.10
34.102.111.127,443,443,true,LAX,North America,Los Angeles,200,4.98
45.135.117.33,34237,2096,true,LAX,North America,Los Angeles,165,4.86
206.119.79.166,34237,2096,true,LAX,North America,Los Angeles,164,4.75
154.9.251.185,34237,2096,true,LAX,North America,Los Angeles,173,4.68
23.224.239.206,46449,443,true,LAX,North America,Los Angeles,183,4.61
43.250.104.125,30165,443,true,LAX,North America,Los Angeles,179,4.38
38.148.249.118,32956,443,true,LAX,North America,Los Angeles,172,4.35
104.166.125.210,443,443,true,LAX,North America,Los Angeles,201,4.33
23.169.184.120,26580,443,true,LAX,North America,Los Angeles,168,4.28
23.224.22.211,80,80,false,LAX,North America,Los Angeles,186,4.09
154.7.183.12,58623,443,true,LAX,North America,Los Angeles,201,3.67
45.140.88.163,22593,443,true,LAX,North America,Los Angeles,173,3.47
154.23.241.9,13725,443,true,LAX,North America,Los Angeles,164,3.11
165.154.182.118,56332,443,true,LAX,North America,Los Angeles,180,3.05
154.40.57.145,34237,2096,true,LAX,North America,Los Angeles,202,2.84
154.40.35.27,50007,443,true,LAX,North America,Los Angeles,175,2.74
154.40.57.178,34237,2096,true,LAX,North America,Los Angeles,181,2.69
2.59.151.128,33557,443,true,LAX,North America,Los Angeles,223,2.43
47.90.141.204,443,443,true,LAX,North America,Los Angeles,249,2.10
23.94.213.132,27149,443,true,LAX,North America,Los Angeles,209,1.80
107.150.103.52,15622,443,true,LAX,North America,Los Angeles,212,1.62
149.88.88.55,24902,443,true,LAX,North America,Los Angeles,170,1.47
154.201.90.98,24406,443,true,LAX,North America,Los Angeles,167,1.07
91.149.239.206,443,443,true,LAX,North America,Los Angeles,380,0.95
91.149.239.72,443,443,true,LAX,North America,Los Angeles,227,0.86
103.14.35.56,443,443,true,LAX,North America,Los Angeles,352,0.80
192.210.187.72,443,443,true,LAX,North America,Los Angeles,212,0.73
34.49.212.232,80,80,false,HKG,Asia Pacific,Hong Kong,48,0.60
129.146.240.62,443,443,true,LAX,North America,Los Angeles,199,0.56
107.148.42.163,443,443,true,LAX,North America,Los Angeles,195,0.43
72.13.122.137,443,443,true,LAX,North America,Los Angeles,207,0.43
38.181.44.156,36687,443,true,LAX,North America,Los Angeles,172,0.27
101.36.119.145,80,80,false,LAX,North America,Los Angeles,204,0.05
152.32.239.228,443,443,true,LAX,North America,Los Angeles,338,0.01
38.47.114.190,29242,80,false,LAX,North America,Los Angeles,178,0.00
199.180.155.172,443,443,true,LAX,North America,Los Angeles,201,0.00
154.23.244.23,39777,443,true,LAX,North America,Los Angeles,174,0.00
45.91.82.74,443,0,true,LAX,North America,Los Angeles,166,0.00
20.14.93.89,2053,8443,true,LAX,North America,Los Angeles,205,0.00
