IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.19.2,443,80,false,NRT,Asia Pacific,Tokyo,68,16.84
140.238.12.52,8443,443,true,NRT,Asia Pacific,Tokyo,63,16.76
45.159.51.218,25068,443,true,NRT,Asia Pacific,Tokyo,99,15.29
103.20.199.196,54678,443,true,NRT,Asia Pacific,Tokyo,87,14.14
43.153.181.217,80,80,false,NRT,Asia Pacific,Tokyo,88,13.00
103.20.199.118,12999,443,true,NRT,Asia Pacific,Tokyo,75,12.42
172.207.125.150,443,443,true,NRT,Asia Pacific,Tokyo,110,11.46
20.243.122.134,443,443,true,NRT,Asia Pacific,Tokyo,101,10.85
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,181,9.30
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,129,7.38
140.238.29.117,443,80,false,NRT,Asia Pacific,Tokyo,67,7.12
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,175,7.03
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,182,6.87
52.192.240.157,443,443,true,NRT,Asia Pacific,Tokyo,76,6.60
13.231.236.95,2053,443,true,NRT,Asia Pacific,Tokyo,80,6.40
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,132,6.08
8.219.153.237,2087,2087,true,NRT,Asia Pacific,Tokyo,165,5.62
176.126.114.97,443,443,true,NRT,Asia Pacific,Tokyo,97,5.59
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,62,5.09
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,172,5.02
132.145.93.198,2083,2053,true,NRT,Asia Pacific,Tokyo,69,4.89
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,141,4.79
8.219.153.237,2095,2095,false,NRT,Asia Pacific,Tokyo,171,4.64
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,175,4.63
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,131,4.54
8.219.66.156,8080,8080,false,NRT,Asia Pacific,Tokyo,139,4.45
8.219.66.156,2053,2053,true,NRT,Asia Pacific,Tokyo,128,4.45
54.238.112.33,443,443,true,NRT,Asia Pacific,Tokyo,78,4.17
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,138,4.04
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,168,4.02
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,144,3.64
132.226.7.217,443,443,true,NRT,Asia Pacific,Tokyo,81,3.26
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,173,3.19
47.236.125.62,2053,2053,true,NRT,Asia Pacific,Tokyo,171,3.11
141.98.197.101,11665,443,true,NRT,Asia Pacific,Tokyo,100,3.10
13.230.34.30,443,443,true,NRT,Asia Pacific,Tokyo,80,2.90
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,198,2.89
47.236.125.62,2083,2083,true,NRT,Asia Pacific,Tokyo,175,2.76
8.219.66.156,2095,2095,false,NRT,Asia Pacific,Tokyo,132,2.75
103.20.199.101,33003,443,true,NRT,Asia Pacific,Tokyo,76,2.50
8.219.153.237,2052,2052,false,NRT,Asia Pacific,Tokyo,169,2.36
138.3.222.135,443,443,true,NRT,Asia Pacific,Tokyo,78,2.36
146.56.133.140,2083,80,false,NRT,Asia Pacific,Tokyo,199,2.33
138.2.18.184,80,80,false,NRT,Asia Pacific,Tokyo,82,2.25
47.236.125.62,8443,8443,true,NRT,Asia Pacific,Tokyo,182,2.21
18.223.255.25,443,443,true,NRT,Asia Pacific,Tokyo,255,2.20
60.205.0.210,80,80,false,NRT,Asia Pacific,Tokyo,51,2.00
8.140.56.136,80,80,false,NRT,Asia Pacific,Tokyo,53,1.91
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,132,1.22
8.219.153.237,2096,2096,true,NRT,Asia Pacific,Tokyo,169,1.20
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,98,1.10
8.219.153.237,8880,8880,false,NRT,Asia Pacific,Tokyo,166,1.08
47.74.4.97,443,443,true,NRT,Asia Pacific,Tokyo,78,0.98
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,179,0.80
172.93.220.153,12345,80,false,NRT,Asia Pacific,Tokyo,104,0.44
45.32.25.171,443,443,true,NRT,Asia Pacific,Tokyo,204,0.26
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,77,0.21
45.60.186.91,2082,2082,false,YVR,North America,Vancouver,208,0.17
45.60.186.91,2052,2052,false,YVR,North America,Vancouver,214,0.16
103.20.199.88,30002,80,false,NRT,Asia Pacific,Tokyo,73,0.15
45.76.198.248,443,443,true,NRT,Asia Pacific,Tokyo,320,0.08
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,91,0.04
101.36.113.25,52080,80,false,NRT,Asia Pacific,Tokyo,203,0.00
45.142.166.55,22387,80,false,NRT,Asia Pacific,Tokyo,98,0.00
101.36.113.25,58081,80,false,NRT,Asia Pacific,Tokyo,72,0.00
154.12.191.87,30810,80,false,NRT,Asia Pacific,Tokyo,68,0.00
45.159.48.14,19809,80,false,NRT,Asia Pacific,Tokyo,119,0.00
193.32.149.196,17809,80,false,NRT,Asia Pacific,Tokyo,84,0.00
193.32.149.196,40809,80,false,NRT,Asia Pacific,Tokyo,74,0.00
124.156.238.155,443,443,true,NRT,Asia Pacific,Tokyo,85,0.00
146.56.161.229,443,0,true,NRT,Asia Pacific,Tokyo,64,0.00
131.186.28.236,443,443,true,NRT,Asia Pacific,Tokyo,209,0.00
13.114.9.116,443,443,true,NRT,Asia Pacific,Tokyo,79,0.00
