IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.99.169,2095,2095,false,SIN,Asia Pacific,Singapore,62,23.05
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,61,22.82
8.219.122.55,2083,2083,true,SIN,Asia Pacific,Singapore,75,21.53
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,109,21.51
8.222.134.170,2086,2086,false,SIN,Asia Pacific,Singapore,60,21.02
8.222.184.198,8880,8880,false,SIN,Asia Pacific,Singapore,65,20.36
8.219.122.55,2053,2053,true,SIN,Asia Pacific,Singapore,60,19.39
8.219.114.201,2052,2052,false,SIN,Asia Pacific,Singapore,66,19.29
8.222.208.38,2087,2087,true,SIN,Asia Pacific,Singapore,65,19.14
8.219.42.72,80,80,false,SIN,Asia Pacific,Singapore,159,18.92
8.219.51.211,2082,2082,false,SIN,Asia Pacific,Singapore,67,18.91
8.219.113.232,2082,2082,false,SIN,Asia Pacific,Singapore,66,18.89
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,97,18.69
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,62,18.31
8.219.220.88,2086,2086,false,SIN,Asia Pacific,Singapore,99,17.26
8.219.40.37,2082,0,false,SIN,Asia Pacific,Singapore,88,17.12
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,60,17.06
8.219.142.191,2086,2086,false,SIN,Asia Pacific,Singapore,103,16.98
8.219.86.200,2082,2082,false,SIN,Asia Pacific,Singapore,64,16.60
8.222.214.231,2087,0,true,SIN,Asia Pacific,Singapore,77,16.38
8.219.78.1,2082,2082,false,SIN,Asia Pacific,Singapore,60,16.37
8.219.104.37,2095,2095,false,SIN,Asia Pacific,Singapore,68,16.30
8.222.150.197,2086,2086,false,SIN,Asia Pacific,Singapore,62,15.92
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,78,15.69
8.222.150.197,2052,2052,false,SIN,Asia Pacific,Singapore,64,15.65
8.219.49.65,2082,2082,false,SIN,Asia Pacific,Singapore,72,15.53
8.219.111.175,2095,2095,false,SIN,Asia Pacific,Singapore,70,15.44
8.219.60.54,2087,2087,true,SIN,Asia Pacific,Singapore,62,15.36
8.219.100.168,2082,2082,false,SIN,Asia Pacific,Singapore,134,15.06
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,65,14.98
8.219.1.92,8880,8880,false,SIN,Asia Pacific,Singapore,69,14.93
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,99,14.89
8.222.146.222,8080,8080,false,SIN,Asia Pacific,Singapore,65,14.72
47.236.180.24,2086,2086,false,SIN,Asia Pacific,Singapore,112,14.68
8.219.107.135,2052,2052,false,SIN,Asia Pacific,Singapore,61,14.66
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,62,14.54
8.219.100.168,80,80,false,SIN,Asia Pacific,Singapore,64,14.43
8.219.100.168,2086,0,false,SIN,Asia Pacific,Singapore,65,14.25
8.219.122.55,2086,2086,false,SIN,Asia Pacific,Singapore,72,14.24
8.222.167.147,8080,8080,false,SIN,Asia Pacific,Singapore,66,14.22
