IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.164.75,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,25.24
47.238.5.0,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,29,24.98
8.217.127.73,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,31,24.22
47.242.174.27,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,30,22.51
8.218.204.128,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,36,21.99
47.243.183.127,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,37,21.81
47.243.243.14,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,31,21.79
47.242.183.7,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,28,21.11
47.76.222.57,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,45,20.92
47.243.42.219,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,30,20.88
47.243.60.150,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,38,20.78
47.243.18.199,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,32,20.51
8.217.123.243,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,33,20.46
8.210.43.213,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,27,19.93
47.76.32.108,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,42,19.88
8.222.156.242,2053,2053,TRUE,SIN,Asia Pacific,Singapore,60,19.45
8.219.83.71,2083,2083,TRUE,SIN,Asia Pacific,Singapore,72,19.28
8.210.119.11,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,31,19.11
47.76.159.146,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,32,19.11
8.210.119.11,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,38,18.87
47.243.234.9,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,30,18.55
140.238.15.251,443,443,TRUE,HKG,Asia Pacific,Hong Kong,64,17.94
8.217.72.0,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,30,17.66
47.242.107.109,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,33,17.61
8.210.156.6,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,36,17.42
47.243.86.79,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,31,17.19
176.126.114.97,443,443,TRUE,NRT,Asia Pacific,Tokyo,95,17.04
8.218.98.75,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,30,17.04
8.210.146.108,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,31,16.98
8.219.117.198,2083,2083,TRUE,SIN,Asia Pacific,Singapore,62,16.96
47.238.40.58,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,30,16.89
47.242.234.127,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,30,16.81
47.76.178.146,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,35,16.79
47.238.0.114,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,34,16.74
